label,text
ham,Welcome to Uber Welcome aboard David. Your account is ready. Here is a quick guide to getting started. http://secure-verify.net
ham,"Happy birthday Hi John, happy birthday! Hope you have a wonderful day. Let us catch up soon. http://bit.ly/x9f2"
ham,Appointment confirmed Your appointment is confirmed for 9 am on Friday. Please arrive ten minutes early. http://bit.ly/x9f2
ham,Uber monthly newsletter Here is our monthly newsletter with the latest news and updates. Thank you for subscribing. www.claim-now.co
ham,Appointment confirmed Your appointment is confirmed for 9 am on Monday. Please arrive ten minutes early.
ham,Welcome to Netflix Welcome aboard Sarah. Your account is ready. Here is a quick guide to getting started.
spam,"You have won Congratulations Laura, you have won a free iPhone. Claim your reward now before it expires. goo.gl/pR7k"
spam,Verify your account Your FedEx account will be closed. Confirm your password and card number to keep it active. http://bit.ly/x9f2
ham,"project plan for review Hi Emily, please find the meeting notes attached for your review. I would appreciate your feedback by Friday."
spam,Hot stock tip This stock is about to explode ninety percent. Join our free trading room and start earning now. www.claim-now.co
spam,Verify your account Your Chase account will be closed. Confirm your password and card number to keep it active. http://bit.ly/x9f2
spam,Final notice This is your final notice. Claim a gift card now or lose it forever. Act immediately. http://bit.ly/x9f2
ham,Delivery update Your package 12094 is out for delivery and should arrive Monday. No action is needed. www.claim-now.co
ham,Appointment confirmed Your appointment is confirmed for 10 am on Monday. Please arrive ten minutes early. www.claim-now.co
spam,Security alert from Amazon We detected unusual activity on your account. Verify your identity immediately to avoid suspension. http://secure-verify.net
spam,"You have won Congratulations Emily, you have won a luxury vacation. Claim your reward now before it expires. http://secure-verify.net"
spam,"You have won Congratulations Michael, you have won a luxury vacation. Claim your reward now before it expires. goo.gl/pR7k"
ham,Appointment confirmed Your appointment is confirmed for noon on Friday. Please arrive ten minutes early. goo.gl/pR7k
ham,"quarterly report for review Hi Sarah, please find the meeting notes attached for your review. I would appreciate your feedback by tomorrow."
spam,Verify your account Your Uber account will be closed. Confirm your password and card number to keep it active. www.claim-now.co
spam,Verify your account Your Apple account will be closed. Confirm your password and card number to keep it active.
spam,Work from home Earn twenty thousand dollars per week working from home. No experience needed. Start today and get paid weekly. http://secure-verify.net
spam,Verify your account Your FedEx account will be closed. Confirm your password and card number to keep it active. www.claim-now.co
ham,"Happy birthday Hi Anna, happy birthday! Hope you have a wonderful day. Let us catch up soon. http://secure-verify.net"
spam,Security alert from Chase We detected unusual activity on your account. Verify your identity immediately to avoid suspension. http://bit.ly/x9f2
spam,Verify your account Your PayPal account will be closed. Confirm your password and card number to keep it active.
ham,"Following up Hi Sarah, just following up on the project plan. Please let me know if you need anything else."
spam,You are a winner You have been selected to receive a free iPhone. Reply with your details to claim your prize. http://secure-verify.net
ham,"meeting notes for review Hi Anna, please find the project plan attached for your review. I would appreciate your feedback by Monday. www.claim-now.co"
ham,Reservation confirmed Your reservation for Monday at noon is confirmed. We look forward to seeing you.
ham,Reservation confirmed Your reservation for tomorrow at 9 am is confirmed. We look forward to seeing you. www.claim-now.co
spam,"You have won Congratulations David, you have won one million dollars. Claim your reward now before it expires. goo.gl/pR7k"
ham,Reservation confirmed Your reservation for Monday at noon is confirmed. We look forward to seeing you. www.claim-now.co
spam,"You have won Congratulations Laura, you have won a luxury vacation. Claim your reward now before it expires. www.claim-now.co"
ham,Reservation confirmed Your reservation for this weekend at 9 am is confirmed. We look forward to seeing you. www.claim-now.co
spam,"You have won Congratulations Chris, you have won a gift card. Claim your reward now before it expires. goo.gl/pR7k"
