label,text,lang
spam,[긴급] 카드 승인 알림 해외에서 카드가 승인되었습니다. 본인이 아니면 즉시 확인 바랍니다 첨부파일 청구서.exe,ko
ham,네이버 월간 뉴스레터 이번 달 주요 소식과 업데이트를 아래 링크로 안내드립니다. 감사합니다.,ko
ham,[카카오] 주문 배송 시작 주문하신 상품의 배송이 시작되었습니다. 배송조회 링크를 확인하세요. 첨부파일 계약서.docx,ko
spam,투자 정보 무료 공개 이번 달 수익률 300% 종목 무료 공개! 리딩방으로 지금 입장하세요 첨부파일 invoice.exe me2.do/kk1,ko
ham,가입을 환영합니다 신한카드 가입을 환영합니다. 서비스 이용 안내 링크를 보내드립니다. 첨부파일 안내문.pdf goo.gl/aB2p,ko
ham,안부 인사드립니다 과장님 요즘 잘 지내시죠? 오랜만에 안부 여쭙니다. 조만간 한번 뵙고 싶습니다.,ko
ham,[신한카드] 결제 완료 안내 요청하신 결제가 정상 완료되었습니다. 주문번호를 확인해 주세요. 첨부파일 계약서.docx,ko
spam,성인 전용 무료 이벤트 지금 무료로 만나보세요. 즉시 입장 가능합니다 vvw.event-win.co.kr,ko
spam,축하합니다 당첨되셨습니다 귀하가 경품 이벤트에 당첨되어 1000만원을 드립니다. 지금 연락 주세요 첨부파일 청구서.exe goo.gl/aB2p,ko
spam,결제가 실패하였습니다 고객님 결제 정보에 문제가 있습니다. 정보를 업데이트해 주세요 첨부파일 photo.scr,ko
ham,[신한카드] 주문 배송 시작 주문하신 상품의 배송이 시작되었습니다. 배송조회 링크를 확인하세요. 첨부파일 보고서.pdf http://bit.ly/xz39,ko
ham,문의 주신 건 답변드립니다 안녕하세요 이지은입니다. 문의하신 내용 확인하여 답변드립니다. 추가 문의는 회신 주세요. vvw.event-win.co.kr,ko
ham,[넷플릭스] 상품 발송 안내 주문하신 상품이 오늘 발송되었습니다. 이번 주 금요일 도착 예정입니다. 첨부파일 안내문.pdf,ko
ham,[롯데카드] 결제 완료 안내 요청하신 결제가 정상 완료되었습니다. 주문번호를 확인해 주세요. 첨부파일 계약서.docx,ko
spam,정부 지원금 신청 안내 귀하는 지원금 대상자입니다. 기한 내에 꼭 신청하세요 첨부파일 당첨안내.zip,ko
ham,[넷플릭스] 주문이 접수되었습니다 주문이 정상 접수되었습니다. 주문 내역과 배송 일정을 확인해 주세요. 첨부파일 사진.jpg,ko
