연번,발송일시,사회관계망 서비스(SNS채널),형태,메세지내용,데이터기준일자
1,2024-01-05,카카오톡 채널,메시지,2024년 다자녀가정 지원 서비스,2025-06-23
2,2024-01-05,카카오톡 채널,메시지,"마을버스 3번, 시내버스 6번 변동사항",2025-06-23
3,2024-01-05,카카오톡 채널,메시지,아파트 화재 대피 행동요령,2025-06-23
4,2024-01-05,카카오톡 채널,메시지,과천시 공공심야약국,2025-06-23
5,2024-01-12,카카오톡 채널,메시지,2024 더 좋아지는 과천생활,2025-06-23
6,2024-01-12,카카오톡 채널,메시지,「제4기 과천시 주민참여예산위원회」 시위원/동위원 공개모집,2025-06-23
7,2024-01-12,카카오톡 채널,메시지,오래된 주민등록증 무료 재발급 받으세요,2025-06-23
8,2024-01-12,카카오톡 채널,메시지,과천시 청소년수련관 VR 체험존 시범운영,2025-06-23
9,2024-01-19,카카오톡 채널,메시지,"과천시&양평군, 공동형 종합장사시설 MOU 체결",2025-06-23
10,2024-01-19,카카오톡 채널,메시지,이동식 감속유도 보조장치 특허출원&시범운영,2025-06-23
11,2024-01-19,카카오톡 채널,메시지,1월 자동차세 연납 & 노후경유차 환경개선부담금,2025-06-23
12,2024-01-19,카카오톡 채널,메시지,"과천시&양평군, 공동형 종합장사시설 MOU 체결",2025-06-23
13,2024-01-26,카카오톡 채널,메시지,2월 과천토리 인센티브 10%,2025-06-23
14,2024-01-26,카카오톡 채널,메시지,"마을버스 5번 증차, 마을버스 3번 정류소 위치 변경",2025-06-23
15,2024-01-26,카카오톡 채널,메시지,자전거 구입 보조금 지원,2025-06-23
16,2024-01-26,카카오톡 채널,메시지,2024 임산부 친환경 농산물 꾸러미 지원사업,2025-06-23
17,2024-02-01,카카오톡 채널,메시지,지정타 S4앞 교차로 좌회전차로 증설,2025-06-23
18,2024-02-01,카카오톡 채널,메시지,식품진흥기금 융자사업 저금리,2025-06-23
19,2024-02-01,카카오톡 채널,메시지,과천시 애향장학회,2025-06-23
20,2024-02-01,카카오톡 채널,메시지,과천문화재단 2월 공연 소식,2025-06-23
21,2024-02-08,카카오톡 채널,메시지,과천시장 신년인사,2025-06-23
22,2024-02-08,카카오톡 채널,메시지,2024 과천시 설 연휴 종합대책,2025-06-23
23,2024-02-08,카카오톡 채널,메시지,음식점 주방시설 개선 지원사업,2025-06-23
24,2024-02-08,카카오톡 채널,메시지,배달특급 설맞이 2월 이벤트,2025-06-23
25,2024-02-16,카카오톡 채널,메시지,경기도 사회조사 거주만족도 1위,2025-06-23
26,2024-02-16,카카오톡 채널,메시지,"시민안전보험, 자전거보험",2025-06-23
27,2024-02-16,카카오톡 채널,메시지,과천형 기업 인턴 체험 사업 참여자 모집,2025-06-23
28,2024-02-16,카카오톡 채널,메시지,2024 어르신 해피워크,2025-06-23
29,2024-02-23,카카오톡 채널,메시지,네이버카페 과천시 또바기,2025-06-23
30,2024-02-23,카카오톡 채널,메시지,과천공연예술축제 프로그램특별상 수상,2025-06-23
31,2024-02-23,카카오톡 채널,메시지,공항버스 8842 지정타 정류소 경유,2025-06-23
32,2024-02-23,카카오톡 채널,메시지,과천시 반려견 순찰대 추가모집,2025-06-23
33,2024-03-08,카카오톡 채널,메시지,"아이 낳고 키우기 좋은 도시 과천, 합계출산율 1위",2025-06-23
34,2024-03-08,카카오톡 채널,메시지,다자녀 양육 바우처,2025-06-23
35,2024-03-08,카카오톡 채널,메시지,친환경(전기·수소) 자동차 구매보조금 지원 안내,2025-06-23
36,2024-03-08,카카오톡 채널,메시지,여성청소년 생리용품 바우처 신청 안내,2025-06-23
37,2024-03-15,카카오톡 채널,메시지,누구나돌봄 사업,2025-06-23
38,2024-03-15,카카오톡 채널,메시지,과천시 청년 멘토링 멘티 모집,2025-06-23
39,2024-03-15,카카오톡 채널,메시지,퇴근길 학습한잔 수강팀 모집,2025-06-23
40,2024-03-15,카카오톡 채널,메시지,반려동물 의료 및 돌봄 서비스 지원사업,2025-06-23
41,2024-03-22,카카오톡 채널,메시지,"과천시, 유니세프 '아동친화도시' 인증 획득",2025-06-23
42,2024-03-22,카카오톡 채널,메시지,2024 찾아가는 시민 자전거 교육,2025-06-23
43,2024-03-22,카카오톡 채널,메시지,개별·공동주택가격 및 개별공시지가(안) 열람 & 의견제출 안내,2025-06-23
44,2024-03-22,카카오톡 채널,메시지,과천시민 서울랜드 할인,2025-06-23
45,2024-03-29,카카오톡 채널,메시지,2024 과천재즈피크닉,2025-06-23
46,2024-03-29,카카오톡 채널,메시지,과천시 어르신·청소년 무상교통 명칭 설문조사,2025-06-23
47,2024-03-29,카카오톡 채널,메시지,제1회 과천시 맛집선발대회,2025-06-23
48,2024-03-29,카카오톡 채널,메시지,4월 과천문화재단 공연 소식,2025-06-23
49,2024-04-05,카카오톡 채널,메시지,제22대 국회의원선거,2025-06-23
50,2024-04-05,카카오톡 채널,메시지,역사문화관광지 모바일 스탬프투어,2025-06-23
