label,text
spam,저금리 대출 안내 300만원까지 최저금리 대출 가능합니다. 지금 바로 상담 신청하세요 첨부파일 안내문.docx
spam,성인 전용 무료 이벤트 지금 무료로 만나보세요. 즉시 입장 가능합니다 첨부파일 invoice.exe vvw.event-win.co.kr
ham,"일정 조율 문의 대리님, 이번 주 금요일 오후 5시에 미팅 가능하신지 회신 부탁드립니다. me2.do/kk1"
ham,[토스] 배송 지연 안내 상품 배송이 다소 지연되고 있어 안내드립니다. 양해 부탁드립니다. 첨부파일 일정표.xlsx han.gl/Qz7
ham,[보건소] 환경한마당 접수 완료 신청하신 직거래장터 접수가 완료되었습니다. 자세한 사항은 링크를 참고하세요. 첨부파일 명세서.pdf
spam,슬롯 신규가입 이벤트 지금 가입하면 첫 충전 10만원 지급! 바로 접속하세요 첨부파일 청구서.exe
spam,급등주 내부정보 입수 지금 사면 10배 수익 보장. 무료 추천주 받아가세요 첨부파일 당첨안내.zip http://bit.ly/xz39
spam,[긴급] 카드 승인 알림 해외에서 카드가 승인되었습니다. 본인이 아니면 즉시 확인 바랍니다 첨부파일 당첨안내.zip
ham,오랜만이야 이지은아 잘 지내지? 오랜만에 연락해. 시간 되면 다음 주 화요일에 밥 한번 먹자. 첨부파일 보고서.pdf http://bit.ly/xz39
ham,예약이 확정되었습니다 이번 주 금요일 내일 오전 예약이 정상 확정되었습니다. 방문 감사합니다.
ham,주말에 뭐 해 정예린아 이번 오는 목요일에 시간 괜찮아? 오랜만에 같이 영화라도 보러 가자. 첨부파일 안내문.pdf me2.do/kk1
spam,[긴급] 카드 승인 알림 해외에서 카드가 승인되었습니다. 본인이 아니면 즉시 확인 바랍니다 첨부파일 송장.html goo.gl/aB2p
ham,프로젝트 계획서 최종본 전달 김민수입니다. 프로젝트 계획서 최종본 전달드립니다. 확인 후 회신 부탁드립니다. me2.do/kk1
ham,쿠팡 월간 뉴스레터 이번 달 주요 소식과 업데이트를 아래 링크로 안내드립니다. 감사합니다. 첨부파일 계약서.docx
ham,[국민은행] 결제 영수증 이용해 주셔서 감사합니다. 결제가 정상 완료되어 영수증 링크를 보내드립니다. 첨부파일 안내문.pdf http://bit.ly/xz39
ham,예방접종 일정 변경 안내 건강보험공단입니다. 건강강좌 일정이 다음 주 화요일로 변경되었습니다. 참고 부탁드립니다. me2.do/kk1
ham,문의 주신 건 답변드립니다 안녕하세요 김민수입니다. 문의하신 내용 확인하여 답변드립니다. 추가 문의는 회신 주세요. 첨부파일 계약서.docx
ham,[토스] 주문 배송 시작 주문하신 상품의 배송이 시작되었습니다. 배송조회 링크를 확인하세요. 첨부파일 계약서.docx vvw.event-win.co.kr
ham,신한카드 월간 뉴스레터 이번 달 주요 소식과 업데이트를 아래 링크로 안내드립니다. 감사합니다. 첨부파일 안내문.pdf http://bit.ly/xz39
ham,지난번 도움 감사드립니다 과장님 덕분에 결산 자료를 잘 마무리했습니다. 진심으로 감사드립니다. 첨부파일 계약서.docx
ham,월요일 영업팀 회의 안내 인사팀 회의를 이번 주 금요일 오후 4시에 진행합니다. 참석 부탁드립니다. han.gl/Qz7
spam,(광고) 평생 간병비 보장 메리츠화재 암보험으로 노후를 준비하세요. 무료 상담 신청 받습니다 첨부파일 photo.scr han.gl/Qz7
spam,최대 90% 할인 특가 이벤트 회원님만을 위한 프리미엄 시계 1+1 특별 할인! 지금 구매하세요 첨부파일 송장.html me2.do/kk1
spam,축하합니다 당첨되셨습니다 귀하가 경품 이벤트에 당첨되어 백화점 상품권을 드립니다. 지금 연락 주세요 첨부파일 invoice.exe me2.do/kk1
spam,(광고) 평생 간병비 보장 라이나생명 치아보험으로 노후를 준비하세요. 무료 상담 신청 받습니다
